R,PSNR_Original,PSNR_Def_Aware,SSIM_Original,SSIM_Def_Aware,Bitrate_Original,Bitrate_Def_Aware
1,18.87303932,20.67297145,0.630703518,0.7281813,0.069256366,0.080343364
2,18.87476788,20.6340099,0.630876398,0.727727508,0.069275656,0.080492863
3,19.07289617,20.77238078,0.647757977,0.738400121,0.073755787,0.085522762
4,19.70642142,21.47972518,0.697650605,0.780768363,0.082807677,0.097005208
5,20.29963313,22.16730522,0.74459077,0.81991645,0.093402778,0.108458719
6,20.75352062,22.71404284,0.775084797,0.84369919,0.1043451,0.119815779
7,21.1529094,23.16246661,0.798137278,0.861420513,0.115176505,0.130343364
8,21.48748371,23.5247947,0.816136999,0.874623224,0.125159144,0.140287423
9,21.77994587,23.82660333,0.830703371,0.884379639,0.134905478,0.149609375
10,22.04344428,24.09852257,0.841866019,0.891837176,0.144386574,0.158043981
11,22.27367088,24.31083354,0.8509486,0.897191785,0.153221451,0.16642554
12,22.49587015,24.50879754,0.858292403,0.901906279,0.162012924,0.175043403
13,22.73483353,24.71042975,0.865795472,0.906026844,0.171137153,0.18393615
14,22.93742335,24.87592644,0.872837076,0.910683019,0.179277585,0.192018711
15,23.14163233,25.07243308,0.878007842,0.913843093,0.187982253,0.200159144
16,23.32962601,25.24595395,0.883434576,0.91724653,0.196286651,0.208183835
17,23.50730187,25.41426982,0.888212823,0.920191865,0.204562114,0.215750386
18,23.6960234,25.58945985,0.893150759,0.923582847,0.212456597,0.223625579
19,23.8639878,25.73016151,0.897208176,0.926299281,0.21951196,0.230290316
20,24.02293144,25.85808325,0.901067098,0.928457622,0.226673418,0.236882716
21,24.20726895,26.02389282,0.905513507,0.931494721,0.234702932,0.244420332
22,24.35960944,26.16507458,0.908721709,0.933480512,0.241893326,0.251538387
23,24.52506574,26.29232254,0.912315332,0.935531928,0.248982446,0.25813561
24,24.68967159,26.44585312,0.915671862,0.937668709,0.256264468,0.265316358
25,24.83030721,26.55698297,0.917991862,0.939038312,0.263083526,0.271002122
26,24.98911771,26.68455253,0.920897911,0.940736969,0.269651813,0.277845293
27,25.1406264,26.81117839,0.923729256,0.942722126,0.276229745,0.284254437
28,25.29840889,26.95338592,0.926148832,0.944315804,0.283863812,0.290875772
29,25.43331997,27.05495423,0.92818818,0.945540203,0.28944348,0.296214313
30,25.58135813,27.1828098,0.93051114,0.947066103,0.295789931,0.302584877
31,25.70940833,27.28198255,0.93244567,0.948288535,0.301745756,0.308203125
32,25.84671138,27.38225436,0.934341261,0.949475007,0.307904128,0.313946759
33,25.99016797,27.51716241,0.936339405,0.950730794,0.314134838,0.320225694
34,26.11717529,27.6213629,0.937928501,0.951948123,0.319246721,0.325072338
35,26.25932128,27.74157644,0.939707178,0.953173827,0.326118827,0.331828704
36,26.40131198,27.87664082,0.941561462,0.954582209,0.332576196,0.337962963
37,26.5002071,27.94388943,0.942655608,0.955255713,0.336545139,0.342028356
38,26.63425427,28.07167582,0.94417616,0.956250316,0.343470293,0.348770255
39,26.73900693,28.14565081,0.945355349,0.956929301,0.348885995,0.353858025
40,26.84360391,28.22063984,0.946560467,0.957614505,0.352290702,0.357388117
41,27.0062276,28.39502445,0.948315523,0.958996252,0.360353974,0.364564043
42,27.07396519,28.44691915,0.949012487,0.959511875,0.364226466,0.368494406
43,27.19981455,28.56623178,0.950280303,0.96042674,0.368991127,0.372743056
44,27.33788351,28.71894476,0.951795954,0.961605687,0.376118827,0.378698881
45,27.42124494,28.81286431,0.952565538,0.962120967,0.380015432,0.381510417
46,27.56607117,28.9201005,0.953921212,0.962945768,0.386381173,0.387562693
47,27.65623439,28.98515872,0.954738526,0.963383255,0.389718364,0.390128279
48,27.74760853,29.0425615,0.955538313,0.963764185,0.394777199,0.394627701
49,27.85582295,29.09658306,0.956588104,0.964140253,0.401133295,0.399893904
50,27.94849608,29.15584093,0.957375206,0.964486448,0.403713349,0.401041667
